id,type,text1,text2,text3,notes
sex_lilim,SHIP,"The Lilim is a dedicated missile destroyer designed to provide a mobile platform for missile fire support. Being much more sluggish compared to other hulls of its size, the Lilim-class serves a great escort role as the hammer against the anvil. Despite the ship's great performance as a support platform, it is rarely used in the post-Collapse sector due to the ship's overbearing maintenance costs.

The profound Lilim-class was built by the Tri-Tachyon Corporation as a response to the deployment of the Gryphon-class series of ships designed by Altair Exotech. Noticing the Gryphon's effectiveness as a support ship in fleet engagements, it was decided that a new series of ships specializing on missile support were to be designed and constructed. Being the result of this program, the Lilim-class has almost no armaments besides its four missile slots. This allows the ship to serve a dedicated missile support role; from providing long range support behind the frontlines to escorting capital ships and delivering finishing blows on enemy hulls.",,,
sex_lilith,SHIP,"The Lilith is a dedicated missile cruiser designed to provide a mobile platform for heavy missile fire support. The hull-integrated missile nanoforge ensures that the ship can replenish missile armaments. Being much more bulky compared to other hulls of its size, the Lilith-class serves a great escort role as the hammer against the anvil. Despite the ship's great performance as a support platform, it is rarely used in the post-Collapse sector due to the ship's overbearing maintenance costs.

The mighty Lilith-class was built by the Tri-Tachyon Corporation as a response to the deployment of the Gryphon-class series of ships designed by Altair Exotech. Noticing the Gryphon's effectiveness as a support ship in fleet engagements, it was decided that a new series of ships specializing on missile support were to be designed and constructed. Being the result of this program, the Lilith-class has almost no other armaments besides the many missile mounts the ship. Of particular interest is the addition of a Paladin Point Defense built into the hull. This allows the ship to serve a dedicated missile support role; from providing long range support behind the frontlines to escorting capital ships and delivering finishing blows on enemy hulls, while also providing point defense support from missiles and fighters launched from enemy forces.",,,
sex_brynhildr,SHIP,"The Brynhildr, an ancient missile cruiser, embodies resilience through its sturdy construction, foregoing modern shielding technology. Instead, the Brynhildr relies on an integrated Damper Field, utilizing archaic design principles meticulously adapted to contemporary standards. This remarkable adaptation enables the Brynhildr to withstand what would otherwise be devastating damage during intense combat encounters.

Wrapped in an enigmatic shroud of mystery, the Brynhildr's origins remain largely obscure. It was retired from active service alongside the early iterations of the formidable Onslaught battleship. Evolving doctrines within the Domain Navy, coupled with the ship's relatively high maintenance costs at the time, rendered it impractical for continued fleet utilization. However, in the tumultuous post-collapse sector, the Brynhildr-class vessels have been brought back to service and have proven their mettle as formidable missile support platforms.",,,"construction, an integrated missile autoforge, and no modern shields. Instead, the Brynhildr is equipped with an integrated Damper Field of archaic design but tuned to modern standards. This allows the Brynhildr to allocate 100% of flux buildup to weapon systems, leaving defense to its heavy armor enhanced by the obscure physics of resonant field-dampening."
sex_tartarus,SHIP,"A favorite of pirates and private armies due to the missile support it can provide along with its non-demanding support profile, the ancient Tartarus-class frigates pack a respectable amount of missile firepower. The ship's suprising agility allows a wise commander to shift missile support to wherever it is needed.

This design is old enough to be contemporary with early models of the Onslaught battleship, though unlike that illustrious pillar of the Domain Navy, the Ko Combine m225 ""Tartarus"" was never intended to be a frontline combat ship. It was originally designed as a cheap and affordable ship to assist in mining operations. After the collapse of the Gate network however these ships were fitted with missile armaments and became the favourite of independent captains for the ship's non-demanding support profile.",,,
sex_adramelech,SHIP,"The Adramelech is a rare, experimental cruiser designed for mine-laying operations. Significant amount of hull space is dedicated to assembly lines for the production of large, bulky phase mines that the ship can deploy during combat. This allows the Adramelech to support allied ships with strategic mine deployments even during extended deployments. The ship also has a small nanoforge dedicated to the production of smaller proximity mines which can be launched from the two Proximity Charge Cannons built into the hull.

While the Adramelech boasts remarkable utility in strategic mine deployment, its substantial upkeep costs and relatively niche role limits its widespread deployment within fleets. However, on occasion, discerning captains may encounter this vessel acting as a formidable heavy escort for Tri-Tachyon flagships or, in more exceptional circumstances, under the command of enterprising mercenaries.",,,
sex_mine_strike,SHIP_SYSTEM,Teleports a heavy strike mine to the target area. The mine will slowly track nearby enemy ships and explode a few seconds after its proximity trigger is activated.,Offensive,,
sex_whiskeypete,SHIP,"The Whiskey Pete is a drone carrier designed to lead civilian mining operations. Featuring no modular fighter bays, the ship instead includes an array of drones designed to assist in cracking open asteroids which have been modified in cycles post-Collapse to assist during combat situations as well. Nonetheless, the Whiskey Pete is not a combat ship and works bests as a support ship behind the frontlines.

The Ko Combine M650-R was a remarkable ship even before the Collapse of the gate network for the sheer number of auxiliary drones it could support for the ship's size. In the dangerous Post-collapse sector many modification packages have been assembled by various survivalist and pirate groups with the most popular being the one developed by Whiskey ""Milkers"" Pete, which consists of specifications to up-armour the ship for combat, supercharge factory-spec systems and replace the outdated drones with more modern SEx Co. designs. The Whiskey Pete modification is revered by many privateers for the revolutionary design of its huge titanium nano-alloy frontal fuel containers with distinctive voluminous figure. While some may appreciate the subtle architecture, in recent history, the heavily shielded tanks offered the means of the reliable smuggling of coveted Eventide spirits, earning the venerable ship its name.",,,
sex_hammer_mining_drone,SHIP,"Simple drones fitted with hammer-class torpedoes, designed to assist in mining operations. Fragile and underarmed, these drones rely on support from escort fighter screens to deliver their payload.",,,
sex_escort_mining_drone,SHIP,"Simple mining drones with aftermarket combat modifications that make them somewhat effective in combat, yet still lacking the punch of proper fighter wings.",,,
sex_quadgiga,WEAPON,"Quad launcher system capable of launching a devastating torpedo barrage. the Quadruple Giga-class torpedo platform offers a devastating four-launch burst of Giga-class torpedoes, but is held back by its hefty logistical profile and a disappointing damage potential during extended deployments due to a limited magazine size.",,,
